date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20141116	30.76923077	23.07692308	15.38461538	15.38461538	0	15.38461538	0	153.8461538	130.7692308	23.07692308	23.07692308	7.692307692	0	15.38461538	46.15384615
20141123	36.36363636	27.27272727	9.090909091	18.18181818	0	9.090909091	0	218.1818182	209.0909091	18.18181818	18.18181818	9.090909091	0	18.18181818	54.54545455
20141130	30.76923077	23.07692308	7.692307692	15.38461538	0	23.07692308	0	176.9230769	123.0769231	23.07692308	23.07692308	7.692307692	0	15.38461538	38.46153846
20141207	35.71428571	21.42857143	14.28571429	14.28571429	0	21.42857143	0	221.4285714	128.5714286	14.28571429	21.42857143	7.142857143	0	14.28571429	50
20141214	30.76923077	23.07692308	7.692307692	15.38461538	7.692307692	15.38461538	0	300	161.5384615	15.38461538	23.07692308	7.692307692	0	15.38461538	61.53846154
20141221	30	30	20	20	0	20	0	450	280	20	30	10	0	10	90
20141228	25	16.66666667	25	25	0	16.66666667	0	150	133.3333333	25	25	8.333333333	0	16.66666667	41.66666667
20150104	21.42857143	14.28571429	7.142857143	14.28571429	7.142857143	14.28571429	0	100	100	21.42857143	14.28571429	7.142857143	0	21.42857143	28.57142857
20150111	26.66666667	20	6.666666667	13.33333333	0	20	0	106.6666667	100	20	13.33333333	6.666666667	0	20	33.33333333
20150118	26.66666667	20	6.666666667	13.33333333	6.666666667	20	0	106.6666667	106.6666667	20	13.33333333	6.666666667	0	13.33333333	26.66666667
20150125	25	25	6.25	18.75	0	12.5	0	106.25	106.25	25	12.5	6.25	0	31.25	25
20150201	25	18.75	6.25	12.5	6.25	25	0	106.25	106.25	25	12.5	6.25	0	18.75	25
20150208	33.33333333	26.66666667	6.666666667	13.33333333	0	20	0	126.6666667	113.3333333	26.66666667	13.33333333	6.666666667	0	20	40
20150215	35.71428571	21.42857143	14.28571429	14.28571429	0	21.42857143	0	114.2857143	114.2857143	28.57142857	21.42857143	7.142857143	0	21.42857143	35.71428571
20150222	126.6666667	26.66666667	6.666666667	13.33333333	13.33333333	13.33333333	0	113.3333333	120	26.66666667	20	6.666666667	0	20	33.33333333
20150301	71.42857143	28.57142857	7.142857143	14.28571429	7.142857143	14.28571429	0	114.2857143	114.2857143	28.57142857	21.42857143	7.142857143	0	21.42857143	35.71428571
20150308	66.66666667	26.66666667	6.666666667	13.33333333	0	13.33333333	0	120	113.3333333	26.66666667	13.33333333	6.666666667	0	20	33.33333333
20150315	92.85714286	21.42857143	7.142857143	14.28571429	0	14.28571429	0	135.7142857	121.4285714	21.42857143	14.28571429	7.142857143	0	21.42857143	28.57142857
20150322	40	20	6.666666667	13.33333333	6.666666667	13.33333333	0	140	113.3333333	13.33333333	13.33333333	6.666666667	0	20	33.33333333
20150329	64.28571429	21.42857143	7.142857143	14.28571429	0	14.28571429	0	228.5714286	135.7142857	21.42857143	21.42857143	7.142857143	0	21.42857143	35.71428571
20150405	35.71428571	21.42857143	7.142857143	14.28571429	7.142857143	14.28571429	0	128.5714286	114.2857143	14.28571429	14.28571429	14.28571429	0	21.42857143	28.57142857
